eo_ma_index,EIN,NAME,ICO,SORT_NAME
13690,46064566.0,WEST END RACING CHILDRENS COMMUNITY SAILING INC,% DOROTHEA SANTOS,WERCCS INC
13778,46069485.0,SAMUEL SNOW T U W,% EASTERN BANK,CHARLES R JONES ET AL TR
14806,46186025.0,DANCE TEACHERS CLUB OF BOSTON,% TREASURER,AMER SOCLILLA WYMAN SCHLRSHP FND
15278,46660588.0,ROBERT P GIDDINES TRUST BRADLEY R COOK & JAMES D COLT TTEE,% TAYLOR GANSON & PERRIN,COOK BRADLEY R & JAMES D TTEES
15321,46741839.0,ALLAN J BATTERSHILL FUND OF THE LAWRENCE ROTARY CLUB,,KELLEY ROBERT F TTEE
15328,46744975.0,THE KERSHAW FOUNDATION CHARITABLE TRUST,,BRADLEY JOHN F II TTEE
15350,46772198.0,MARY E & JOHN F MURPHY CHARITABLE TR,,SEGERSTROM PETER J TTEE
15357,46784586.0,THE BERGER FAMILY FOUNDATION,,BERGER BONNIE TTEE
15362,46793631.0,STEPHEN R CASEY AND CARLOTTA CASEY COYNE FUND TR,% SULLOWAY & HOLLIS,CAIN RICHARD J TTEE
15367,46796825.0,NOBLE SYMOND GOLUB & LELIA J GOLUB EDUCATIONAL TR,% FREDERICK W SHAW JR ET AL,SHAW FREDERICK W JR ET AL TTEES
15370,46802292.0,LUTHER E CRIST & PHYLLIS C CRIST PERPETUAL TR OF UNTD BRETHREN LDG,% CHARLES L PARK JR,REEBEL DENNIS E TTEE
15374,46816458.0,A S AND ELSIE HIRSHMAN CHARITABLE FOUNDATION UI 091796,% HOLLAND & KNIGHT LLP,HIRSHMAN KARL J ET AL TTEES
15393,46833652.0,ROBERT L EPSTEIN FAMILY FNDTN TR UD,% SULLIVAN & WORCESTER LLP,EPSTEIN RL & DM & MJ TTEE
15424,46860665.0,LEVY CHARITABLE FOUNDATION TR,% HALE AND DORR,LEVY ROBERTA M TTEE
15453,46872884.0,MASHPEE SCHOLARSHIP FOUNDATION TR,% PRISCILLA K ROLLINS,HOLMQUIST RICHARD J TTEE
15460,46878983.0,JOHN AND SUSAN SPOONER CHARITABLE TR,% JOHN SPOONER,SPOONER JOHN TTEE
15463,46880358.0,DAVIS PUBLICATIONS CHARITABLE TR,% MARY F SMITH,WADE WYATT R ETAL TTEE
15474,46896092.0,ANGIER CHARITABLE FUND,% LORING WOLCOTT & COOLIDGE,BALLOU FFREDERICK D ET AL TTEE
15483,46901131.0,ROTARY CLUB OF ANDOVER CHARITABLE TR,% RAYMOND J CANNON JR,CANNON RAYMOND TTEE
15484,46902006.0,CALDWELL FOUNDATION,% ROBERT G STEWART P C,STEWART ROBERT G ET AL TTEE
15498,46906119.0,SCHERR FAMILY FOUNDATION,% RICHARD A SCHERR,SCHERR RICHARD A ET AL TTEES
15514,46915283.0,KENNETH E WICKHAM 1988TR FBO UNITED CHURCH BOARD FOR WORLD MINISTRIES,% ROPES & GRAY LLP,BLOONSTEIN MARC J TTEE
15530,46926501.0,BUNKY FUND,% BARNEKE AND ANDERSON LLP,FULLER C ANDREW TTEE
15537,46931913.0,HANDSHAKE FOUNDATION TRUST 15016199,% LORING WOLCOTT & COOLIDGE,BALLOU FREDERICK D ET AL TTEE
15557,46955530.0,MANUEL ROCHA CHARITABLE FUND FOR THE EDUCATION OF PRIESTS,% WILLIAM F KERN ESQ,KERN WILLIAM F TTEE
15569,46990197.0,BLESSING FOUNDATION TR,% LORING WOLCOTT & COOLIDGE OFFICE,PARKER LINDSEY ET AL TTEE
15570,46999201.0,OEDIPUS FOUNDATION CHARITABLE TR,,HYSON EDWARD TTEE
15577,47023435.0,BERNICE B GODINE FAM FOUNDATION TR,% LOURIE & CUTLER P C,DANIEL D LEVENSON ET AL TTEE
15747,61358463.0,CRITICAL REVIEW FOUNDATION INC,% SHTERNA FRIEDMAN,CRITICAL REVIEW
16077,133797759.0,AMERICAN FRIENDS OF GEORGIA INC,% SIDAMON-ERISTOFF,BESSEMER TRUST CO N A
16218,137267896.0,THE@HENRIETTA & DAVID WHITCOMB FAMILY FOUNDATION,% RODMAN & RODMAN PC,WHITCOMB HENRIETTA TTEE
16391,200011504.0,UNION OF MINORITY NEIGHBORHOODS INC,% HORACE SMALL,UNION OF MINORITY NEIGHBORHOODS
16757,201655355.0,BAFUT MANJONG CULTURAL ASSOCIATION,% NIXON HEBANEH,BMCA
17735,206393550.0,JOHN AND GERTRUDE DONOVAN FOUNDATION,,DONOVAN PETER & DONOVAN LOUISE TTEE
17738,206584098.0,SANDRA AND GERARD MOYNIHAN CHARITABLE TR,% GERARD W MOYNIHAN,MOYNIHAN GERARD W ET AL TTEE
17751,206930686.0,HOWARD A CURTIS SCHOLARSHIP FUNDTRUST,% THEODORE XENAKIS,THEODORE XENAKIS TTEE
17752,206934058.0,HARBOR OAKS FOUNDATION TR,% CHARLES G PAULSEN,CHARLES G PAULSEN TTEE
17764,207199304.0,SAFTY5 FOUNDATION,% GORDON D OWADES,GORDON OWADES TTEE
17765,207203353.0,ALEXANDER ARONSON FINNING & CO CHARITABLE FOUNDATION,,DANA MARKS TTEE
17771,207405595.0,VAILLANCOURT FAMILY TRUST,% CO FIDUCIARY TAX RESOURCES LLC,CITIZENS UNION SAVINGS BANK TTEE
17867,208517699.0,SEEKONK TIGERS INC,% MARY JANE BERNARD,SEEKONK JR WARRIORS
19290,223077010.0,WORLD AGAINST TOYS CAUSING HARM INC,% SWARTZ & SWARTZ,W A T C H
19323,223099030.0,LITTLE LEAGUE BASEBALL INC,,BRIDGEWATER
19671,223379653.0,OXFORD LITTLE LEAGUE BASEBALL INC,,OXFORD LITTLE LEAGUE
21452,256498015.0,FRESH POND TR,% RANDOLPH SLAUGHTER,SLAUGHTER RANDOLPH M TTEE
21453,256761896.0,JAMES & ETHEL WALKER CHARITABLE TR 010300,% JEROME KAPLAN,KAPLAN JEROME TTEE
21526,260251831.0,PIONEER VALLEY RIVERFRONT CLUB INC,% JANE CROSBY,CHARLE HINES
21565,260409968.0,ARTSBRIDGE INC MAKING A DIFFERENCETHROUGH ART,% DEBORAH NATHAN,DAVID JACOBSON - TREAS
21742,261394793.0,VINEYARD ARTS PROJECT LIMITED,% ASHLEY MELONE,VINEYARD ARTS PROJECT
21745,261404531.0,UUJMECORP,% MS SUSAN NYE,UNITARIAN UNIVERSALISTS FOR JUSTICE
21779,261509977.0,GREATER BOSTON FIREFIGHTERS PIPES AND DRUMS INC,% PAUL C HARDY,GREATER BOSTON FIREFIGHTERS PIPE AN
21855,261791465.0,HANDS ON NATURE INC,% HEATHER SIMPSON,HANDS ON NATURE
21919,262037081.0,VALLEY THRIFT STORE INC,,TREASURES
21947,262111452.0,SACRED THREADS- A CENTER FOR SPIRITUALITY & HEALING,% MARIE T LABOLLITA,SACRED THREADS CENTER
21984,262269658.0,NEW STAGE PERFORMING ARTS CENTER INC,% NICKI WILSON,CASTLE HILL THEATRE COMPANY
22066,262624347.0,ASSOCIATION FOR ENVIRONMENTAL HEALTH & SCIENCES FOUNDATION INC,% TAMMY PARKER,AEHS FOUNDATION
22087,262697328.0,COMPASSIONATE HEARTS NETWORK INC,,COMPASSIONATE GIVER
22431,263880797.0,MASSACHUSETTS CLIMATE ACTION NETWORK,% ROB GARRITY,CAROL OLDHAM
22505,264193606.0,PROOF MEDIA FOR SOCIAL JUSTICE,% CENTER FOR SOCIAL INNOVATION,LEORA KAHN MBR
22534,264331332.0,FRANKLIN DELANO ROOSEVELT FOUNDATION INC,,FDR SUITE RESTORATION PROJECT
22657,266196825.0,IRVING AND TOBY SCHWARTZ CHARITABLE TR,% NIXON PEABODY LLP,JAY D ROSENBAUM TTEE
22664,266402417.0,JAMES T POWERS TESTIMENTARY TRUST,,GLYNIS MAC VEETY TTEE
22666,266455537.0,PRIMA CARE SCHOLARSHIP FOUNDATION CHARITABLE TRUST,,GREGORY SQUILLANTE TTEE
22704,270091571.0,TEAMSTERS LOCAL 25 SCHOLARSHIP FUND INC,% RITCHIE E REARDON,TEAMSTERS LEADS FUND
23000,271255685.0,20 SUMMERS INC,% RICHARD OPATERNY,20 SUMMERS
23127,271653356.0,HOPE STRENGTHENS FOUNDATION,,HSF
23382,272617737.0,1FOR3 DOT ORG INC,% ANDREW KURBAN,1 FOR 3 ORG
23435,272894665.0,CONSTANZA MEDICAL MISSION,% GLENN MANNKE,ST JEROMES CONSTANZA MISSION
23444,272916353.0,LAMOUR COMMUNITY HEALTH INSTITUTE,% PATRICE LAMOUR,INC
23529,273198471.0,FRIENDS OF INDIAN SENIOR CITIZENS ORGANIZATION INC,% FISCO,FISCO
23566,273360971.0,21 FRIENDS INC,% KIMBERLY LEGENDRE,21 FRIENDS
23767,273878463.0,TRUST UW CHARLES E LARNER,,CHARLES E LARNER FAMILY FOUNDATION
23975,274823929.0,ECONOMIC STIMULUS PROJECTS FOR WORK AND ACTION,% MARIE-ROSE ROMAIN MURPHY,ESPWA
24044,276164313.0,FREDS FISHING FUND SCHOLARSHIP,,PHYLLIS CURCURU TTEE
24070,276833723.0,CHRISTOPHER W SCHLESINGER FOUNDATION,% CHRISTOPHER W SCHLESINGER,CHRISTOPHER W SCHLESINGER TTEE
24071,276876646.0,DJ DREAM FUND,,ANGELLA HENRY TTEE
24232,300416215.0,GREATER NEWBURYPORT COMMUNITY MEDIA HUB INC,% SARAH HAYDEN,NCM HUB
24250,300455198.0,CCYP INC,% THE COOPERATIVE BANK OF CAPE COD,CAPE COD YOUNG PROFESSIONALS
24533,311612034.0,PEOPLE SUPPORTING INDEPENDENT LIVING AND LEISURE INC,% SHERRI TETRAULT,PSILL INC
24539,311624543.0,A KEITH BRODKIN FOUNDATION,% EDELSTEIN & CO LLP,JUDITH BRODKIN
24599,311717672.0,CYRUS E DALLIN ART MUSEUM INC,% PAUL MCGAFFIGAN,THE JEFFERSON CUTTER HOUSE
24914,347184819.0,DANIEL FAMILY CHARITABLE FOUNDATION,% BRUCE DANIEL,DANIEL BRUCE B TTEE
24921,352180580.0,LIBERTY ROWING INC,% ALLAN GEHANT,GENTLE GIANT ROWING CLUB
25059,356823300.0,DAVID J DEFILIPPO & LISA M SHAPIRO CHARITABLE TR 11302009,% DAVID J DEFILIPPO,DAVID J DEFILIPPO ET AL TTEE
25152,364666451.0,BOSTON MISSIONARY BAPTIST COMMUNITY CENTER INC,% ARTHUR ALMEDA,BMBCC
25248,367405684.0,ELIZABETH T LEVIN IRRV LIVING TR FBO LYNN ENGLISH HIGH SCHOOL,,SCHREIBER ROBERTA A TTEE
25249,367674865.0,RYAN FAM FOUNDATION,% GOULSTON & STORRES PC,SHAWN C RYAN TTEE
25295,371574499.0,METCO DIRECTORS ASSOCIATION,% BARBARA HAMILTON,MDA
25321,371665975.0,TEAM HAVERHILL INC,% TEAM HAVERHILL,TEAM HAVERHILL
25521,387144954.0,THE@FRED AND CAROLYN KEEFE FOUNDATION,% EVAN KEEFE,EVAN KEEFE TTEE
25585,412134850.0,PATRICIA CORNWELL FOUNDATION INC,% ANCHIN BLOCK & ANCHIN LLP,BJORKLUND VICTORIA B TTEE
25611,412240509.0,CHELSEA EDUCATION FOUNDATION INC,% CHELSEA PUBLIC SCHOOLS,CEF
25662,421653917.0,TANIGUCHI DEANE FAMILY FOUNDATION,% PALMER MANAGEMENT CORP,DEANE GORDON L TTEE
25697,426635430.0,EDWARD & LEE LAWRENCE FOUNDATION UTA 040191,% J ROSENBAND,LAWRENCE PAM TTEE
25760,432112329.0,G S T S ALUMNI ASSOCIATION OF NORTH AMERICA,,OLD BOYS ASSOCIATION
25798,450589955.0,REHOBOTH FOOD PANTRY INC,% BILL DALPE,REHOBOTH FOOD PANTRY
25920,452069859.0,CAPE CANCER THRIFT SHOP INC,,CAPE CANCER THRIFT SHOP
26092,452859863.0,SAILING HEALS INC,% TRISHA GALLAGHER BOISVERT,SAILING HEALS
26143,453124840.0,WEST SPRINGFIELD FRIENDS OF PARK AND RECREATION INC,% PAUL MANTONI,FOPAR
26208,453525783.0,SEEKONK BOYS BASKETBALL INC,% HOLLY CROWE,SEEKONK BOYSBASKETBALL
26381,454171417.0,OLD POST ROAD PARENT ADVISORY COMMITTEE,% MEREDITH GARRITY,OPR PAC
26471,454524157.0,LAKEVILLE COMMUNITY ACCESS MEDIA INC,% ROBERT W MARSHALL,LAKECAM
26797,456239812.0,ROSE D BERNIER DUVAL CHARTIABLE TR,% DEBORAH J ORRE,DEBORAH J ORRE TTEE
26799,456369857.0,LAUREN DUNNE ASTLEY MEMORIAL FUND,,LEA ANDERSON TTEE
26804,456541255.0,WE BEAT CANCER,% JEFFREY F GALLAHUE,JEFFREY F GALLAHUE TTEE
26837,460649494.0,CHRISTIAN YOUTH CONFERENCE AT OCEAN PARK INC,% BOB JOPE,CYCOP
26979,461081343.0,HOOSIC RIVER REVIVAL INC,% JUDITH M GRINNELL,MATTHEW MILLER
27154,461609193.0,HAVERHILL INNER-CITY BOXING,% PAUL ACCARDI,HICB OR INNER CITY BOXING
27352,462319756.0,MONTESSORI ELEMENTARY TEACHER TRAINING COLLABORATIVE,,METTC
27531,462969632.0,EDUCATIONAL DIVIDE REFORM INC,% CARE OF HSA,EDR
27538,462998909.0,CHINESE AMERICAN ASSOCIATION OF LEXINGTON INC,,CAAL
27612,463296297.0,TECHNOCOPIA CO,% NICHOLAS L BOLD,TECHNOCOPIA
27734,463825104.0,MARINE RENEWABLE ENERGY COLLABORATIVE OF NEW ENGLAND,,MRECO
27874,464249112.0,KEEP NORTH ATTLEBOROUGH BEAUTIFUL INC,% MARSHA GOLDSTEIN,KNAB
27983,464647881.0,FOCUSING INITIATIVES INTERNATIONAL INC,% MELINDA DARER,FOCUSING INTERNATIONAL
28023,464844404.0,CAMBRIDGE YOUTH LACROSSE INC,% ALEJANDRO HEYWORTH,CAMBRIDGE YOUTH LACROSSE
28286,465761356.0,PASSIVE HOUSE NEW ENGLAND INC,% FRED GORDON,PASSIVE HOUSE NEW ENGLAND
28291,466171539.0,FRADIN SILBERSTEIN FOUNDATION,% GAIL FRADIN SILBERSTEIN,GAIL FRADIN SILBERSTEIN TTEE
28292,466173328.0,FRANCINE J BRITT CHARITABLE TR,% DAVID M FRAZIER,FRANCINE J BRITT TTEE
28306,466716336.0,THE WARREN C AND MARY E DOLE CHARITABLE TRUST - 1990,% TAYLOR GANSON AND PERRIN LLP,EDWARD R MARTIN TTEE
28311,466946688.0,GOLF COURSE SUPERINTENDENTS ASSOCIATION OF NEW ENGLAND SCHOLAR,,MICHAEL D LUCCINI TTEE
28314,467450190.0,WEINSTEIN FAMILY FOUNDATION,% WILLIAM WEINSTEIN,WILLIAM WEINSTEIN TTEE
28318,467531357.0,SHULAMIT & JEHUDA REINHARZ FOUNDATION,,SHULAMIT REINHARZ TTEE
28833,472480088.0,INTERNATIONAL ASSOCIATION FOR PREMENSTRUAL DISORDERS,% AMANDA LAFLEUR,IAPMD
28874,472613587.0,NAWLEE FOUNDATION INC,% BARBARA R OCONNOR,NAWLEE FOUNDATION
29032,473356495.0,JUSTINS VOICE,% CARMEN LUCCHESE,JUSTIN SCOTT LUCCHESE FOUNDATION
29096,473532691.0,FRAMINGHAM HIGH SCHOOL GRID IRON CLUB,% FENNA BEVERLY,FHS GRIDIRON
29238,474004081.0,ASIAN ENTREPRENEURSHIP FOUNDATION,% CHEUK H SHIAN,ACE NEXTGEN
29608,475208674.0,COMMUNITIES LIVING AMONG WILDLIFE SUSTAINABLY CONSERVANCY INC,% ANDREW STEIN,CLAWS CONSERVANCY
29769,476437037.0,SZE FAMILY CHARITABLE FOUNDATION,% NIEN DAK SZE AND CECILIA SZE,CECILIA SZE TTEE
29770,476455383.0,THE NATHALIE AND THEODORE@JONES CHARITABLE TRUST FBO NAACP-,% TAYLOR GANSON & PERRIN LLP,BRADLEY R COOK TTEE
29771,476462740.0,ALLINSON LAMB FAMILY FOUNDATION,,DEBORAH L ALLINSON TTEE
29773,476572625.0,PHILOSOPHY OF THE EIGHT GUIDED PATHS SPIR GUID CTR CHAR TR,% LISA ESTEN TRUSTEE,LISA ESTEN TTEE
29785,477040951.0,PATRICKS PROMISE FOUNDATION,,DIANE SIBLEY TTEE
29789,477096233.0,KEEPSMILIN4ABBIE FOUNDATION,,AMY BENFORD TTEE
29804,481284605.0,NRHS FRIENDS OF MUSIC,% LINDA LAURITANO,FRIENDS OF MUSIC
31023,656270560.0,JUST SO CHARITABLE FOUNDATION 060198,% CURTIS CUSHMAN,CUSHMAN CURTIS & DOROTHY BARTA TTEE
31124,736351444.0,SANDMAN FAM FOUNDATION,% PAUL W SANDMAN,SANDMAN PAUL & MARY E TTEE
31135,742581255.0,MAPA SAFETY FOUNDATION INC,% THEODORE CORSONES,MAPA SAFETY FOUNDATION
31297,760788130.0,COMMUNITY CONNECTIONS FOUNDATION INC,% JAMES BLUE SPRING CONSULTING GR,BOSTONIAN GROUP CHARITABLE FOUNDATI
31523,800509297.0,FRIENDS OF READING FOOTBALL 1,% THOMAS CONNERY,FRIENDS OF READING FOOTBALL
31713,810708885.0,MARION P MANZON SCHOLARSHIP CORP,% NANCY MANZON DERCOLE,MARION P MANZON SCHOLARSHIP
31873,811281063.0,POP WARNER LITTLE SCHOLARS INC,% WHILENA HARRINGTON-FIELDS,BOSTON RAIDER YOUTH FOOTBALL AND
31990,811796773.0,BOSTON CHINESE INVESTMENT CLUB CORP,% BCIC NGO - MIN YI,BCIC
32074,812220537.0,WATER COMPASS INC,% EDWARD MORGAN,WATER COMPASS
32394,813595731.0,VERONICA ROBLES CULTURAL CENTER,% VERONICA ROBLES,VROCC
32516,813998870.0,HEART WARRIOR FOUNDATION,% HEART WARRIOR 5K FOUNDATION,HEART WARRIOR 5K
32518,814004922.0,SPARKSHARE INC,% CARE OF IMPACT HUB,SPARKSHARE
32648,814383581.0,MASSACHUSETTS FELINE INTERVENTION ALLIANCE INC,% NICOLE HAGGERTY,MAFIA
32787,814866447.0,MONOMOY ALL SPORTS BOOSTER CLUB,,MASBC
32849,815089505.0,NOPI - NONPROFIT INCUBATOR,% AMANDA LAFLEUR,NOPI
32896,815296088.0,KYLE S LEGACY INC,% TINA VISALLI,KYLE S LEGACY
32935,815437066.0,FRIENDS OF ST LUKES INC,% SUSAN PAGE HOWLAND,ST LUKES GUEST HOUSE
32959,816519090.0,SYDNEY S MCMATH JR CHARITABLE FOUNDATION,% BRADLEY R COOK,BRADLEY R COOK TTEE
32960,816650459.0,EASTON CHARITABLE TR,,CLORINDA MARIA CALI TTEE
32976,820554222.0,WESTERN MA GENERAL SERVICE AREA 31 OF ALCOHOLICS ANONYMOUS INC,% ROBERTA L PADDEN,Y
33010,820698346.0,US LATINX ART FORUM,% ADRIANA ZAVALA,USLAF
33428,822227533.0,CHILE MASSACHUSETTS ALLIANCE INC,% YULY F FUENTES,CHILEMASS
33843,823580865.0,ROOT STUDIO INC,,ROOT YOGA
33937,823846948.0,CHOICE RECOVERY COACHING INC,% PAUL ALVES,CRC
33974,823981538.0,LAKE ARCHER ASSOCIATION CORPORATION,% MICHAEL GLASS,LAKE ARCHER ASSOCIATION
34019,824160189.0,SARAH PAULINE GONSALVES ACC MEMORIAL FUND INC,% MICHAEL ABASCIANO,SARAH S ACC WARRIORS
34078,824390203.0,SCIENCE TRAINING ENCOURAGING PEACE-GRADUATE TRAINING PROGRAM,% ALLEN TAYLOR,STEP-GTP
34102,824468746.0,ABILITIES DANCE INCORPORATED,% ELLICE PATTERSON,ELLICE PATTERSON
34275,825201485.0,UPWARD PROJECT,% MINDY WRIGHT,SOCIAL MOBILITY PROJECT
34363,826359714.0,WOMENS INITIATIVE FOR PROGRESS,% KRISTIANA DAKOS,KRISTINA DAKOS TTEE
34489,830743119.0,FITZPATRICK COLLABORATIVE INC,% CRAIG R HANSEN,FITZPATRICK COLLABORATIVE
34546,830932743.0,GREATER LOWELL CHILDRENS FUND INC,% ERIC COUSINEAU,GREATER LOWELL CHILDRENS FUND
34548,830937487.0,PUNCTUATE4,% PATRICIA PETERSON JAMISON,PUNCTUATE4 PRODUCTIONS
34626,831192472.0,SOUTH ASIAN WORKERS CENTER,% JYOTI SINHA,SAWC
35263,833283330.0,KAIROS DANCE THEATER INC,% DEANNA PELLECCHIA,KAIROS DANCE THEATER
35332,833553521.0,GALLERIES AT LYNNARTS INC,% NICOLE L WERTH,GALA
35568,834502301.0,MOUNT OLIVES COMMUNITY CENTER,% DR JOEL PITON,MOCC
35775,842032939.0,BETTER LIFE FOR ALL,% ERMITE ROMELUS MILLER,BLFA
35991,842743083.0,SOMALI PARENTS ADVOCACY CENTER FOR EDUCATION INC,% ASHA ABDULLAHI,SPACE
36157,843325622.0,URBAN GOLF CLUB CORP,% EDWARD J CORCORAN ESQ,URBAN GOLF CLUB
36344,843986641.0,SOCIETY FOR FUNCTIONAL PRECISION MEDICINE,% ANTHONY LETAI,SFPM
36619,845048084.0,GK FUND INC,% COLETTE PHILLIPS,GK FUND
36672,846904903.0,HOLT FAMILY FOUNDATION,,KEVIN D HOLT TTEE
36794,850869871.0,JULES ANDRE MENTOR FOUNDATION INC,% JULES ANDRE MENTOR,NONE
36893,851262649.0,FLEET FUND INC,,FLEET FUND
37125,852381079.0,DEJA NEW LEICESTER,% LINDA COLBY,DEJA NEW
37130,852410273.0,WELLSPRING COMMUNITY HARVEST INC,,WELLSPRING COMMUNITY HARVEST
37271,853019456.0,SPRINGFIELD PUERTO RICAN PARADE,,PUERTO RICAN PARADE COMMITTEE
37481,853940541.0,WOMEN IN MEASUREMENT INC,,WOMEN IN MEASUREMENT
37521,854127160.0,LEAS LAB INC,% MARIANNE LINDAHL-ALLEN,LEAS LAB
37582,856264865.0,JACKSON WALSH MEMORIAL FUND,% M WALSH,MICHELLE WALSH TTEE
37622,861167048.0,BOLTON ACCESS TELEVISION CORPORATION,% TOWN HALL,ACCESS BOLTON
37897,862213433.0,CANTON FARMERS MARKET INC,% STEPHEN MACPHERSON,CANTON FARMERS MARKET
38245,863766488.0,MARK OBRIEN MEMORIAL SCHOLARSHIP,,EQUITABLE ADVISORS
38249,863774480.0,DOVER SHERBORN GIRLS SPORTS ASSOCIATION INC,,DOVER SHERBORN GIRLS YOUTH LACROSSE
38311,866613831.0,STOLBERG CHARITABLE TR,,CAROL STOLBERG TTEE
38545,871662418.0,SHRI GITA MANDIR INC,% UDAI VARSHNEY,SHRI GITA MANDIR
38615,872009027.0,JUSTICE HEALTH INITIATIVE INC,% ALEX GITUNGANO,JHI
38885,873214262.0,RIVET GLOBAL,% ERIC DAWSON,RIVET
38938,873481565.0,CAPE COD SHAKESPEARE FESTIVAL IN CHATHAM,% TERRY LAYMAN,CCSFC
39088,874017817.0,JACOB FAMILY FOUNDATION,,DILLY FUND
39639,882231121.0,HEAL TRAUMAS INTERNATIONAL INC,% SHIPPEN PAGE,HEAL UKRAINE TRAUMA
39676,882394599.0,SONA GLOBAL LIMITED,% KIRAN AGARWAL-HARDING,SONA GLOBAL
40127,886650516.0,JACK MURPHY WILDERNESS EDUCATION FUND,,RONALD DOUGLAS MURPHY TTEE
40144,900066486.0,MARTHAS VINEYARD DONORS COLLABORATIVE INC,% JACKIE FRIEDMAN,MV NONPROFIT COLLABORATIVE
40558,912173659.0,EVANS FAMILY FOUNDATION,% DANIEL J EVANS,NANCY B EVANS
41724,980196189.0,SISTERS OF CHARITY OF SAINT MARY INC,% SISTER RITA FARLEY,MOTHER ANSELME DAYCARE
