,EIN,NAME,ICO,SORT_NAME
9353,43259150.0,URBAN MISSIONARIES OF OUR LADY OF HOPE INC,% KATHLEEN DOYLE,URBAN MISSIONARIES OF OUR LADY
9605,43279196.0,FRIENDS OF WORCESTERS SENIOR CENTER INC,,
9618,43280116.0,WORCESTER EAST SIDE COMMUNITY DEVELOPMENT CORPORATION,,
9776,43291646.0,WORCESTER NEW HORIZONS INC,,
10070,43319920.0,LEARNING FIRST FOUNDATION INC,% DARRELL GIBBS,
10110,43323502.0,JHC ASSISTED LIVING CORP,% EMILY BOMBA,
10291,43338778.0,CHARLES HOUSTON CULTURAL PROJECT INC,,
10731,43393955.0,SOUTHEAST ASIAN COALITION OF CENTRAL MASS INC,,
10857,43402302.0,MT VERNON HOUSING INC,% LIPTON CENTER,
10978,43412812.0,CANINES FOR DISABLED KIDS INC,,
11037,43419625.0,CHS OF WORCESTER INC,% DAVID R LINCOLN,ST MARY HEALTH CARE CENTER
11374,43453609.0,FLAGG STREET SCHOOL PARENT TEACHER GROUP,,
11418,43459369.0,FIRST FRIENDS DAYCARE INC,% SHANNON LAFOUNTAIN,
11558,43473545.0,OUR DEAF SURVIVORS CENTER INC,% SUSAN PHILIP,
11797,43492520.0,NIPMUC INDIAN DEVELOPMENT CORP INC,,
12083,43519488.0,AUDIO JOURNAL INC,% MARY FRANDSEN,
12101,43520478.0,ADCARE EDUCATIONAL INSTITUTE OF MAINE INC,% PATRICE M MUCHOWSKI,
12123,43521743.0,HEALTH FOUNDATION FUND INC,% JANICE B YOST PRESIDENT,
12250,43532986.0,CLEARWAY CLINIC INC,% MARLA H COLLINSKIMBERLEE ALDRICH,
12943,43708585.0,ATTACHMENT INSTITUTE OF NEW ENGLAND INC,,
13232,46039281.0,WORCESTER DISTRICT MEDICAL SOCIETY,,
14171,46115345.0,WORCESTER COUNTY LIGHT OPERA CLUB,,
14697,46156609.0,WORCESTER GARDEN CLUB INC,,
15151,46364350.0,REGIONAL ENVIRONMENTAL COUNCIL INC,,
15631,50521735.0,WORCESTER CENTER FOR PERFORMING ARTS INC,% JANINE DILIBERTO,
16287,141970474.0,AFRICAN COMMUNITY EDUCATION PROGRAM,% OLGA VALDMAN,
16569,200816574.0,MASSEQUALITY EDUCATION FUND ORG INC,% KAREN WHEELER,
16773,201727883.0,NEW GARDEN PARK INC,,
16891,202148447.0,WORCESTER HIBERNIAN CULTURAL FOUNDATION INC,% KEVIN CARROLL,
16979,202649211.0,SKYLINE TECHNICAL FUND INC,% EDWIND B COGHLIN JR,
17134,203387309.0,BET SHALOM I INC,,
17366,204369375.0,RUTLAND VOLUNTEER FIRE BRIGADE INC,,
17557,205359235.0,LATIN AMERICAN HEALTH ALLIANCE OFCENTRAL MASSACHUSETTS INC,% JANE CAOLA,
17614,205660521.0,RCAP SOLUTIONS FINANCIAL SERVICESINC,% DONNA R WARSHAW,KAREN A KOLLER MBR
17876,208538873.0,WORCESTER CHAMBER MUSIC SOCIETY INC,,
18447,222567080.0,JEREMIAHS INN INC,,
18522,222583590.0,HABITAT FOR HUMANITY METROWEST - GREATER WORCESTER INC,% LAURIE BELTON,
18603,222619885.0,TOWNSEND ELDERLY RESIDENCES INC,,
18634,222636406.0,MASSACHUSETTS BIOMEDICAL INITIATIVES,,
18679,222675978.0,C W MARS INC,,
18732,222719744.0,WORCESTER COMMUNITY HOUSING RESOURCES INC,% BETTY ASKEW CHEVIOT,
18745,222730561.0,WORCESTER COUNTY SAINT PATRICKS PARADE INC,,
18861,222809776.0,MOUNT CARMEL HOUSING INC,,
18888,222827292.0,WEBSTER HOUSING FOR THE ELDERLY INC,% RCAP SOLUTIONS INC,
18891,222831170.0,GROTON AFFORDABLE HOUSING INC,,
18917,222857318.0,GREATER WORCESTER LAND TRUST INC,,
19062,222967513.0,MATTHEW 25 INC,% REVEREND FRED ENMAN SJ,
19079,222976657.0,WORCESTER COMMON GROUND INC,% KATHY LAPORTE,
19408,223149254.0,SAND STEW INC,,
19482,223196624.0,CHRISTOPHER HOUSE INC,% GREGORY J WALSH,
19966,237055676.0,MASSACHUESETTS EDUCATION AND CAREER OPPORTUNTIES INC,% DOT DAOUST,
20013,237073959.0,PRESERVATION WORCESTER INC,% DEBORAH PACKARD,
20620,237209653.0,PHI KAPPA THETA NATIONAL FOUNDATION,% KENNETH HEYS,
20722,237247980.0,WCUW INC,,
21048,237377080.0,UNION SAINT JEAN BAPTISTE SAINT JEAN BAPTISTE EDUCATIONAL FOUNDATI,,
21067,237385576.0,LUPUS FOUNDATION OF NEW ENGLAND INC,,
21176,237442369.0,FALLON COMMUNITY HEALTH PLAN INC,% ELIZABETH CREAVIN,
21501,260119252.0,MULTICULTURAL WELLNESS CENTER,% MULT,
21577,260492878.0,VALLEYCAST INC,,
21778,261506890.0,CULTURAL CENTER HRISOHORAFITON ALEXANDER THE GREAT INC,% RHODA V MITKONIS,
22048,262521865.0,INTERNATIONAL SOCIETY OF VACCINES INC,% SHAN LU - LRB 304,
22212,263147883.0,TEAMSTERS UNION LOCAL 170 SCHOLARSHIP FUND,,
22215,263168663.0,DRESS FOR SUCCESS WORCESTER INC,,
22391,263768711.0,WAKE UP NARCOLEPSY INC,% WAKE UP NARCOLEPSY,
22977,271189816.0,WASHBURN PARK INC,% JEFFREY SOLOMON,
23185,271857525.0,BE LIKE BRIT FOUNDATION INC,% CHERYLANN GENGEL,
23216,271946611.0,BOXER RESCUE INC,% LISA BARKER,
23266,272179313.0,VILLAGE AFROCENTRIC CULTURAL CENTER INC,,
23283,272242207.0,RUTLAND YOUTH SOCCER INC,% FLETCHER TILTON PC,
23417,272819456.0,WORCESTER CHILDRENS CHORUS INC,% PHILIP MONTGOMERY,
23447,272939066.0,YES WE CARE,% ELIZABETH A WHITE,
23753,273841761.0,JUNIOR RAILERS HOCKEY CLUB INC,% LEAGUE PRESIDENT,
23939,274555998.0,PROJECT NEW HOPE INC,% WILLIAM H MOORE,
24363,300707429.0,WORKING FOR WORCESTER INC,% JEFFREY REPPUCCI,
24443,301101287.0,WELCOMING ALLIANCE FOR REFUGEE MINISTRY WARM INC,,
24604,311727629.0,BOLTON SENIOR HOUSING CORPORATION,% RCAP SOLUTIONS INC,
25011,352526476.0,NE BEHAVIORAL HEALTH INC,,NE RECOVERY CENTER
25103,364361397.0,SOCIETY FOR BUSINESS ETHICS,,
25623,412277836.0,ATWOOD ELDER HOUSING INC,% RACP SOLUTIONS INC,
25760,432112329.0,G S T S ALUMNI ASSOCIATION OF NORTH AMERICA,,OLD BOYS ASSOCIATION
26418,454305077.0,VEGFEST INC,,
26575,454898631.0,DIGITAL COMMONWEALTH INC,,
26755,455501030.0,BOX 4 SPECIAL SERVICES CANTEEN ASSOCIATION INC,% STEVEN FAVULLI,
26830,460592504.0,NORTHEAST ASSOCIATION OF COLLEGE AND UNIVERSITY HOUSING OFFICERS IN,,
26995,461129772.0,VENTURE FORUM INC,% RICHARD POWELL,
27239,461874309.0,MAGDALENE COLLEGE FOUNDATION,% CHAPEL & YORK,
27534,462987628.0,METRO SWAT OFFICERS ASSOCIATION INC,% MICHAEL GILLIATT,
27612,463296297.0,TECHNOCOPIA CO,% NICHOLAS L BOLD,TECHNOCOPIA
27911,464361938.0,HEARTWELL INSTITUTE INC,% ZAYDA VALLEJO,
28003,464753685.0,HIGHER EDUCTION CONSORTIUM OF CENTRAL MASSACHUSETTS INC,,
28088,465075963.0,365Z FOUNDATION INC,,
28523,471570314.0,ORGANIZATION FOR NONPROFIT EXCELLENCE INC,% MIKE PECKAR,
28659,471964125.0,CENTRAL MASS GROWN,% CMRPC,
29113,473600849.0,MUSTARD SEED CATHOLIC WORKER COMMUNITY INC,% JO MASSARELLI,
29434,474551070.0,RENDER CREATIVE INC,,
29534,474900810.0,NEW AMERICANS COMMUNITY DEVELOPMENT CORPORATION,% ROBERT L THOMAS,
29602,475176210.0,ACS 22-24 NUTTING AVENUE,% ANDREW MANGELS,
29608,475208674.0,COMMUNITIES LIVING AMONG WILDLIFE SUSTAINABLY CONSERVANCY INC,% ANDREW STEIN,CLAWS CONSERVANCY
30352,542075825.0,DISMAS HOUSE OF MASSACHUSETTS INC,% DAVID MCMAHON,
30510,562305098.0,35 CATHERINE STREET INC,% RONALD CORMIER,
30598,562522670.0,WORCESTER EDUCATIONAL DEVELOPMENT FOUNDATION INC,% STEPHEN E MILLS,
31762,810840289.0,MUSLIM COMMUNITY LINK INC,% MOHAMMAD SHAHBAZ ALI SOOFI,
32028,812009356.0,JOYGURU HUMANITARIAN SERVICES INC,% SARYA B MITRA,
32149,812613929.0,CREATIVE HUB WORCESTER INC,,
32163,812649552.0,STAR INTERNATIONAL CHARITY FOUNDATI ON INC,% STELLA NWOGBO,
32361,813452231.0,LETS EMPOWER ADVOCATE AND DO INC,,LEAD INC
32832,815010462.0,WORCESTER CULTURAL COALITION INC,% ERIN WILLIAMS,
32871,815178390.0,WORCESTER PUBLIC MARKET INC,,
33264,821711537.0,FIRST HELP,,
33570,822776703.0,GIVE 2 THOSE INC,% BAKER BRAVERMAN & BARBADORO,
33696,823105158.0,MS SOLUTIONS,,
33716,823189873.0,PROJECT TO ADVANCE STENOGRAPHIC REPORTING INC,% JAMES DECRESCENZO,PROJECT STENO
34099,824456424.0,LEGENDARY LEGACIES INC,,
34172,824747202.0,STUDIO THEATRE WORCESTER INC,,
34529,830876779.0,NET OF COMPASSION CORP,,
35050,832579704.0,PAWSITIVELY 4 PINK,,
35151,832860571.0,DOWNTOWN WORCESTER BUSINESS IMPROVEMENT DISTRICT INC,,
35560,834467250.0,THE SHINE INITIATIVE INC,% FRED KAELIN,
36113,843190028.0,SHREWSBURY STREET COLUMBUS DAY PARADE INC,% STEVEN CHRISTY,
37630,861192489.0,VESSEL SKATEPARK INC,% STEPHEN SHOGE,
38734,872650254.0,NEW ENGLAND CENTER FOR FAMILY CONNECTION INC,,
40243,900542706.0,WORCLAB INC,% JOSEPH BUSH,
